medication_id,name,generic_name,ndc,type,route,strength,frequency,manufacturer,cost_per_unit,is_pap_medication,pap_program,requires_prior_auth,max_monthly_quantity,side_effects,contraindications,is_active,created_at
MED1025,Kaiser-Diabeta,Diabeta Generic,46056-4483-76,Injection,Subcutaneous,429mg,Daily,Kaiser Pharma Corp,437.03,True,Kaiser PAP,False,11,Sound option star knowledge interest author.,Third site Congress role party.,True,2022-04-16
MED1026,Kaiser-Cardio,Cardio Generic,51040-4259-14,Topical,Topical,373mg,As needed,Kaiser Pharma Inc,392.04,True,Kaiser PAP,True,7,Career set whose mention exactly course education.,Young high maybe century walk.,True,2021-11-18
MED1027,Kaiser-Respira,Respira Generic,28573-3616-69,Tablet,Subcutaneous,199mg,Biweekly,Kaiser Pharma Corp,438.08,True,Kaiser PAP,True,1,Ok best car item modern big.,Cut election information.,True,2025-04-02
MED1028,Kaiser-Neurolin,Neurolin Generic,31387-1598-53,Capsule,Subcutaneous,234mg,Monthly,Kaiser Pharma Corp,63.31,True,Kaiser PAP,False,3,Significant very relate finish.,Republican suddenly value pressure quite plant rock.,True,2025-01-29
MED1029,Kaiser-Immuno,Immuno Generic,23449-6039-52,Oral Solution,Topical,34mg,Weekly,Kaiser Pharma Inc,188.39,True,Kaiser PAP,False,3,Just standard long action message become.,Save statement rate pull.,True,2024-06-28
MED1030,Kaiser-OncoX,OncoX Generic,38241-8184-41,Topical,Inhaled,44mg,Daily,Kaiser Pharma Inc,370.2,True,Kaiser PAP,False,11,Should capital hand nature forward test strategy.,Physical provide receive.,True,2025-01-25
MED1031,Kaiser-Diabeta,Diabeta Generic,87299-9400-30,Capsule,Topical,363mg,Daily,Kaiser Pharma LLC,309.05,True,Kaiser PAP,False,4,Today father medical out thing.,Them than policy example.,True,2026-01-27
MED1032,Kaiser-Cardio,Cardio Generic,76077-4549-42,Injection,Intravenous,214mg,Daily,Kaiser Pharma LLC,84.73,True,Kaiser PAP,True,11,Result interest budget their season every out.,No night station TV hotel thought.,True,2023-01-23
MED1033,Kaiser-Respira,Respira Generic,22681-4892-12,Topical,Intravenous,285mg,Biweekly,Kaiser Pharma LLC,58.66,True,Kaiser PAP,False,6,Experience base visit pretty.,Hear training serious media.,True,2022-10-15
MED1034,Kaiser-Neurolin,Neurolin Generic,75302-8685-75,Tablet,Intravenous,251mg,Monthly,Kaiser Pharma LLC,351.86,True,Kaiser PAP,False,10,Catch evidence old official half actually.,First first exactly class wind.,True,2023-04-10
MED1035,Kaiser-Immuno,Immuno Generic,82893-1517-17,Capsule,Topical,134mg,Monthly,Kaiser Pharma Inc,471.96,True,Kaiser PAP,False,9,Public camera account speech.,Note western music draw.,True,2022-03-10
MED1036,Kaiser-OncoX,OncoX Generic,51722-8936-39,Capsule,Oral,147mg,Weekly,Kaiser Pharma LLC,192.2,True,Kaiser PAP,True,7,Key brother much of wear.,Line hit somebody mind professional far section may.,True,2025-04-25
MED1037,Kaiser-Diabeta,Diabeta Generic,35478-8395-95,Injection,Subcutaneous,377mg,Weekly,Kaiser Pharma Corp,411.63,True,Kaiser PAP,False,4,According late religious eye appear grow.,Off create allow always.,True,2022-11-11
MED1038,Kaiser-Cardio,Cardio Generic,62461-6208-48,Injection,Subcutaneous,207mg,As needed,Kaiser Pharma LLC,224.09,True,Kaiser PAP,True,8,Some choose surface teacher beyond source change.,Often not hour course.,True,2022-04-10
MED1039,Kaiser-Respira,Respira Generic,65751-8147-17,Injection,Intravenous,299mg,Daily,Kaiser Pharma LLC,365.59,True,Kaiser PAP,True,10,Modern mother six news.,Discussion work listen important leave different population.,True,2022-04-26
MED1040,Kaiser-Neurolin,Neurolin Generic,85694-4881-24,Tablet,Inhaled,2mg,Biweekly,Kaiser Pharma LLC,59.93,True,Kaiser PAP,True,12,Effort case would group occur.,Series method option new read still process.,True,2024-10-07
MED1041,Kaiser-Immuno,Immuno Generic,28335-1088-59,Injection,Topical,298mg,As needed,Kaiser Pharma Inc,414.9,True,Kaiser PAP,True,6,Institution meet statement stage whatever.,Staff Republican for gas plan he.,True,2026-05-12
MED1042,Kaiser-OncoX,OncoX Generic,24559-5632-64,Topical,Subcutaneous,69mg,Monthly,Kaiser Pharma Corp,251.06,True,Kaiser PAP,True,5,Work family forget foot officer.,Smile again suggest line minute.,True,2025-08-21
MED1043,Kaiser-Diabeta,Diabeta Generic,66919-7646-34,Tablet,Intravenous,240mg,Weekly,Kaiser Pharma Inc,122.99,True,Kaiser PAP,True,6,Leave change possible information find everything.,Idea miss space these increase image back.,True,2025-03-24
MED1044,Kaiser-Cardio,Cardio Generic,54319-7795-24,Topical,Subcutaneous,101mg,Monthly,Kaiser Pharma LLC,162.47,True,Kaiser PAP,True,4,Bit network six.,Lay our spring term newspaper push ability usually.,True,2021-09-24
MED1045,Kaiser-Respira,Respira Generic,90343-5337-49,Injection,Intravenous,376mg,Biweekly,Kaiser Pharma LLC,145.21,True,Kaiser PAP,False,5,Process recent join.,Class size show class new environmental.,True,2022-09-27
MED1046,Kaiser-Neurolin,Neurolin Generic,28756-3703-34,Injection,Subcutaneous,197mg,Biweekly,Kaiser Pharma Inc,366.13,True,Kaiser PAP,False,1,Base maintain executive energy today make various.,Accept yard serious give.,True,2022-04-12
MED1047,Kaiser-Immuno,Immuno Generic,67719-8727-86,Oral Solution,Inhaled,240mg,Biweekly,Kaiser Pharma Corp,30.41,True,Kaiser PAP,False,8,My story road alone front.,Poor up since camera.,True,2022-07-22
MED1048,Kaiser-OncoX,OncoX Generic,84205-5751-18,Tablet,Subcutaneous,121mg,Weekly,Kaiser Pharma Corp,229.39,True,Kaiser PAP,True,7,Across specific agreement audience example.,Provide direction seven quickly student.,True,2025-09-15
MED1049,Kaiser-Diabeta,Diabeta Generic,77453-8017-94,Oral Solution,Inhaled,74mg,As needed,Kaiser Pharma Inc,333.49,True,Kaiser PAP,False,10,I word shoulder walk.,People court describe present money data.,True,2022-04-27
MED1050,Kaiser-Cardio,Cardio Generic,11436-9695-97,Oral Solution,Subcutaneous,475mg,Weekly,Kaiser Pharma Inc,213.62,True,Kaiser PAP,True,5,Now seek so may management to.,Imagine hair across summer reflect true free glass.,True,2021-08-15
MED1051,Kaiser-Respira,Respira Generic,91452-7926-28,Tablet,Subcutaneous,484mg,Monthly,Kaiser Pharma Inc,420.72,True,Kaiser PAP,True,11,Those message note wind lot data care.,Forget community senior if bad chair point.,True,2022-03-23
MED1052,Kaiser-Neurolin,Neurolin Generic,92424-2318-29,Capsule,Oral,193mg,Daily,Kaiser Pharma Corp,51.83,True,Kaiser PAP,True,11,Something sister respond role fact gun.,Toward whose base throughout baby.,True,2022-04-08
MED1053,Kaiser-Immuno,Immuno Generic,20242-5060-36,Capsule,Inhaled,406mg,As needed,Kaiser Pharma LLC,171.94,True,Kaiser PAP,True,2,Three pass support station start ok if.,Move mouth thought keep other million.,True,2025-02-18
MED1054,Kaiser-OncoX,OncoX Generic,33823-9579-88,Topical,Topical,467mg,Daily,Kaiser Pharma Inc,101.24,True,Kaiser PAP,True,11,Also only product treatment lawyer environmental listen position.,With cold pay just.,True,2021-07-18
MED1055,Kaiser-Diabeta,Diabeta Generic,21727-3566-51,Capsule,Inhaled,493mg,Daily,Kaiser Pharma Corp,282.06,True,Kaiser PAP,False,3,Life soon allow recently table computer.,Possible sister about choice family.,True,2024-10-13
MED1056,Kaiser-Cardio,Cardio Generic,26972-5125-15,Injection,Subcutaneous,392mg,Biweekly,Kaiser Pharma Corp,52.79,True,Kaiser PAP,False,4,Major Mrs change next require moment must.,Several certain activity manage member recently mission.,True,2024-02-11
MED1057,Kaiser-Respira,Respira Generic,51756-9989-73,Injection,Oral,411mg,As needed,Kaiser Pharma LLC,400.0,True,Kaiser PAP,False,6,Air along these send foreign good hard.,Down PM soldier particular.,True,2023-02-28
MED1058,Kaiser-Neurolin,Neurolin Generic,98456-2299-30,Tablet,Topical,47mg,As needed,Kaiser Pharma Inc,46.45,True,Kaiser PAP,False,8,Similar industry operation unit sometimes risk since.,Example ten return increase various relate second.,True,2023-06-11
MED1059,Kaiser-Immuno,Immuno Generic,10537-8405-85,Injection,Inhaled,489mg,Daily,Kaiser Pharma Inc,20.39,True,Kaiser PAP,True,4,Whom animal particularly toward century but standard.,Tough single stock personal.,True,2023-12-11
MED1060,Kaiser-OncoX,OncoX Generic,80035-3764-24,Topical,Topical,262mg,Monthly,Kaiser Pharma LLC,313.6,True,Kaiser PAP,True,3,Quickly ability some.,Power around picture couple woman special hard.,True,2026-03-21
MED1061,Kaiser-Diabeta,Diabeta Generic,38099-7347-52,Capsule,Topical,295mg,As needed,Kaiser Pharma Inc,134.31,True,Kaiser PAP,True,6,Brother lot teacher final.,About increase discussion leave place what candidate.,True,2024-02-24
MED1062,Kaiser-Cardio,Cardio Generic,82233-4046-34,Tablet,Inhaled,386mg,Weekly,Kaiser Pharma LLC,179.36,True,Kaiser PAP,True,7,Can end responsibility probably senior trial off.,Treatment model relationship sense sound own usually.,True,2024-08-25
MED1063,Kaiser-Respira,Respira Generic,54489-7773-86,Injection,Oral,141mg,As needed,Kaiser Pharma Corp,106.63,True,Kaiser PAP,False,8,Particularly street treat other detail national.,Discuss school effort candidate affect note.,True,2025-01-22
MED1064,Kaiser-Neurolin,Neurolin Generic,96970-5818-89,Topical,Oral,370mg,Weekly,Kaiser Pharma Corp,260.81,True,Kaiser PAP,False,10,Wait life never huge several.,Other shoulder strategy class center drive.,True,2022-03-27
MED1065,Kaiser-Immuno,Immuno Generic,94707-2917-41,Oral Solution,Topical,48mg,Weekly,Kaiser Pharma LLC,120.95,True,Kaiser PAP,True,10,Court suddenly age week early improve.,Amount rock girl current scene include unit.,True,2025-02-17
MED1060,Once438,Once438 Generic,93072-9057-49,Tablet,Subcutaneous,283mg,Monthly,Jones Ltd,36.53,False,,True,12,That vote less full.,Drop carry occur wide education word century collection.,True,2025-06-24
MED1061,Show912,Show912 Generic,44734-7510-64,Tablet,Oral,271mg,Weekly,Kaiser-Dunn,23.41,False,,True,12,Whose great sound to head night.,She short stop be.,True,2022-03-03
MED1062,Third315,Third315 Generic,72693-6640-27,Topical,Subcutaneous,174mg,As needed,Gonzalez-Walker,40.11,False,,True,21,Attack sell stay each.,Real door under friend enjoy soon.,True,2025-06-05
MED1063,Hit585,Hit585 Generic,15079-7833-62,Injection,Intravenous,240mg,Monthly,Phillips Inc,30.03,False,,False,27,Officer teach sort step science.,Federal program officer since administration letter.,True,2022-12-08
MED1064,Teacher696,Teacher696 Generic,48777-1395-36,Injection,Intravenous,210mg,Monthly,"Hale, Smith and Fernandez",31.62,False,,False,12,None might large shake recently claim do able.,Anything himself night bit speech help.,True,2025-01-09
MED1065,Act725,Act725 Generic,84688-6387-14,Tablet,Intravenous,244mg,As needed,Rojas-Gregory,48.78,False,,False,19,Call whatever more ten discussion role fall politics.,Find factor heavy military look.,True,2022-02-25
MED1066,Alone152,Alone152 Generic,41364-9253-23,Injection,Topical,174mg,Daily,Chan PLC,47.98,False,,True,24,Like son home pick power.,Left mouth economy peace eye book month finish.,True,2022-08-02
MED1067,Friend167,Friend167 Generic,31036-2422-91,Tablet,Oral,129mg,Daily,Gentry-Berry,40.16,False,,False,22,Loss though about family name activity building.,Moment policy yard the forward increase.,True,2021-11-27
MED1068,Bank794,Bank794 Generic,88170-1312-38,Capsule,Inhaled,11mg,Biweekly,Rodgers LLC,31.58,False,,True,6,Audience believe human age picture report.,Himself stage real could expert understand.,True,2026-04-07
MED1069,Hotel447,Hotel447 Generic,50955-8188-65,Topical,Subcutaneous,107mg,As needed,"Clayton, Blair and Bentley",47.37,False,,True,26,Today hear science not pay drug any off.,Individual professor treatment some accept answer single very.,True,2022-01-27
MED1070,Threat890,Threat890 Generic,17428-5704-42,Tablet,Topical,116mg,Biweekly,Sparks LLC,13.75,False,,False,11,Perhaps decide despite yeah.,Bill similar total party become.,True,2024-08-21
MED1071,Forget862,Forget862 Generic,22494-8886-88,Capsule,Oral,122mg,Biweekly,"Serrano, Brown and Hoffman",39.46,False,,False,22,Size quality bed tax.,Policy important car popular surface.,True,2021-08-13
MED1072,Defense810,Defense810 Generic,70832-6410-32,Capsule,Subcutaneous,103mg,As needed,Barrera-Reyes,46.84,False,,True,6,Prove we understand hotel police company.,In relationship doctor series letter over.,True,2025-11-20
MED1073,Language344,Language344 Generic,74523-5510-31,Oral Solution,Inhaled,187mg,Daily,"Owens, Dunn and Adams",35.68,False,,False,8,Prevent kind but design billion behavior office.,Power knowledge turn commercial writer prove.,True,2025-05-12
MED1074,Animal704,Animal704 Generic,92564-7826-31,Oral Solution,Oral,469mg,Daily,Mendez LLC,22.91,False,,False,15,War now seat before.,Around according person today check off continue.,True,2022-05-29
MED1075,Any679,Any679 Generic,63520-5120-44,Topical,Topical,121mg,As needed,"Davis, Martinez and Lee",23.18,False,,False,15,Behavior effort interview night seek.,Letter picture girl avoid.,True,2022-06-30
MED1076,No809,No809 Generic,79455-8235-84,Injection,Topical,499mg,Weekly,"Estrada, Harris and Ray",7.05,False,,False,28,Own next magazine certain.,Husband dream fire him risk also interest.,True,2024-06-16
MED1077,Daughter879,Daughter879 Generic,48954-9589-81,Capsule,Oral,273mg,As needed,Bentley-Berg,48.94,False,,True,11,Building west activity meeting claim know movement.,Despite your treatment until.,True,2025-03-04
MED1078,Central973,Central973 Generic,74628-5690-24,Tablet,Oral,127mg,As needed,Christensen-Olson,21.45,False,,False,12,Case car loss yard now world season forward.,Nearly price war have service.,True,2023-03-17
MED1079,System625,System625 Generic,59061-4968-90,Oral Solution,Oral,13mg,Biweekly,"Lewis, Carter and Vargas",9.32,False,,False,10,Nearly knowledge television knowledge cell new.,Scene hope apply occur medical.,True,2024-01-24
MED1080,Father581,Father581 Generic,43581-6496-37,Oral Solution,Topical,258mg,Weekly,Koch-Walker,16.76,False,,True,12,There available special business remain.,Figure discover stay whatever direction lawyer along.,True,2026-05-28
MED1081,Democratic540,Democratic540 Generic,27697-4254-20,Topical,Subcutaneous,258mg,Daily,Hall-Marshall,22.77,False,,True,30,Figure amount from bit system somebody attention upon.,Two popular future public.,True,2026-01-15
MED1082,Throughout779,Throughout779 Generic,68970-3362-10,Topical,Inhaled,286mg,Daily,Evans-Leblanc,29.97,False,,True,25,American social let quite.,Decade executive camera almost stage so.,True,2025-06-12
MED1083,Easy984,Easy984 Generic,91127-3169-69,Tablet,Topical,137mg,Biweekly,Love and Sons,22.21,False,,True,27,Leave southern Republican artist develop.,Single good treat turn evidence spend alone.,True,2023-01-26
MED1084,New296,New296 Generic,27506-7408-27,Tablet,Oral,197mg,Monthly,Garrett-Johnson,16.43,False,,True,27,Brother individual process key particular institution if.,Animal across bad.,True,2022-11-10
MED1085,Hair620,Hair620 Generic,77804-1782-71,Injection,Inhaled,242mg,As needed,Guzman PLC,29.41,False,,True,3,Door deep ball performance marriage.,Prove season daughter just ahead.,True,2023-02-04
MED1086,Movement787,Movement787 Generic,57209-9223-91,Tablet,Intravenous,309mg,Monthly,Sexton-Jarvis,16.69,False,,True,28,Million explain say think crime including upon.,Mrs best leader who.,True,2025-07-18
MED1087,Great110,Great110 Generic,47745-4632-90,Tablet,Topical,321mg,Weekly,Perez LLC,47.5,False,,False,23,Or name history century beyond strategy talk.,Certainly investment evidence east thought write.,True,2025-11-21
MED1088,Show878,Show878 Generic,15522-8178-63,Capsule,Intravenous,395mg,As needed,"Walker, Hernandez and Johnson",11.97,False,,True,6,Size price speak your.,Help watch reason fire run happy.,True,2021-08-01
MED1089,Probably154,Probably154 Generic,42606-1549-71,Oral Solution,Oral,359mg,Monthly,Contreras-Powell,6.5,False,,True,10,Other effort head pressure to.,Single such agreement respond.,True,2023-02-18
